Driver,Bahrain Grand Prix,Saudi Arabian Grand Prix,Australian Grand Prix,Azerbaijan Grand Prix,Miami Grand Prix
Max,1,2,1,2,1
Sergio,2,1,5,1,2
Fernando,3,3,3,4,3
Carlos,4,6,12,5,5
Lewis,5,5,2,6,6
Lance,6,20,4,7,12
George,7,4,18,8,4
Valtteri,8,18,11,18,13
Pierre,9,9,13,14,8
Alexander,10,19,19,12,14
Yuki,11,11,10,10,11
Logan,12,16,16,16,20
Kevin,13,10,17,13,10
Nyck,14,14,15,20,18
Nico,15,12,7,17,15
Guanyu,16,13,9,19,16
Lando,17,17,6,9,17
Esteban,18,8,14,15,9
Charles,19,7,20,3,7
Oscar,20,15,8,11,19
